SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
4037,2020-09-03T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,12,3,15,387,402,25,3080,349,3831,155933
4038,2020-09-03T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,351,9,360,3184,3544,154,7177,879,11600,506670
4039,2020-09-03T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,39,7,46,581,627,22,8840,1572,11039,131659
4040,2020-09-03T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,225,27,252,7193,7445,228,76467,16870,100782,1008369
4041,2020-09-03T17:00:00,ITA,11,Marche,43.61675973,13.5188753,13,1,14,321,335,21,5971,988,7294,124694
4042,2020-09-03T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,72,75,2,432,23,530,33143
4043,2020-09-03T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,196,206,4,2464,292,2962,74513
4044,2020-09-03T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,3,1,4,206,210,91,4608,405,5223,84365
4045,2020-09-03T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,92,7,99,1487,1586,75,27330,4148,33064,369467
4046,2020-09-03T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,148,6,154,832,986,78,4078,560,5624,224094
4047,2020-09-03T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,35,6,41,905,946,39,1274,135,2355,120029
4048,2020-09-03T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,81,12,93,1159,1252,54,2947,288,4487,275130
4049,2020-09-03T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,63,7,70,1661,1731,113,9206,1143,12080,371628
4050,2020-09-03T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,10,2,12,290,302,9,1457,80,1839,98418
4051,2020-09-03T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,3,0,3,33,36,4,1065,146,1247,17863
4052,2020-09-03T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,71,12,83,2531,2614,115,18567,2123,23304,627148
4053,2020-09-04T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,32,1,33,438,471,25,2910,472,3853,105546
4054,2020-09-04T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,3,1,4,104,108,7,412,28,548,57880
4055,2020-09-04T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,19,1,20,293,313,19,1167,97,1577,160382
4056,2020-09-04T17:00:00,ITA,15,Campania,40.83956555,14.25084984,196,5,201,2530,2731,171,4471,447,7649,257337
4057,2020-09-04T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,114,13,127,3062,3189,126,24719,4463,32371,551727
4058,2020-09-04T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,11,4,15,397,412,23,3093,349,3854,156816
4059,2020-09-04T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,363,9,372,3316,3688,171,7204,879,11771,517073
4060,2020-09-04T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,48,6,54,619,673,47,8841,1572,11086,132733
4061,2020-09-04T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,244,26,270,7399,7669,337,76574,16876,101119,1028404
4062,2020-09-04T17:00:00,ITA,11,Marche,43.61675973,13.5188753,12,1,13,328,341,17,5982,988,7311,125411
4063,2020-09-04T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,75,78,4,433,23,534,33340
4064,2020-09-04T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,199,209,11,2472,292,2973,74949
4065,2020-09-04T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,7,0,7,223,230,23,4611,405,5246,84881
4066,2020-09-04T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,110,7,117,1531,1648,82,27349,4149,33146,372210
4067,2020-09-04T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,150,7,157,929,1086,117,4095,560,5741,226927
4068,2020-09-04T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,41,6,47,963,1010,66,1276,135,2421,121848
4069,2020-09-04T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,87,11,98,1186,1284,78,2993,288,4565,277515
4070,2020-09-04T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,67,8,75,1742,1817,99,9219,1143,12179,377468
4071,2020-09-04T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,11,3,14,313,327,35,1467,80,1874,99741
4072,2020-09-04T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,33,35,2,1068,146,1249,17904
4073,2020-09-04T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,79,10,89,2691,2780,273,18671,2126,23577,634616
4074,2020-09-05T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,32,2,34,449,483,13,2910,472,3865,106544
4075,2020-09-05T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,3,1,4,111,115,7,412,28,555,58544
4076,2020-09-05T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,20,0,20,305,325,19,1173,98,1596,162336
4077,2020-09-05T17:00:00,ITA,15,Campania,40.83956555,14.25084984,207,6,213,2631,2844,119,4476,448,7768,263202
4078,2020-09-05T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,122,12,134,3117,3251,133,24790,4463,32504,556876
4079,2020-09-05T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,15,3,18,427,445,49,3109,349,3903,157947
4080,2020-09-05T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,344,11,355,3452,3807,158,7242,880,11929,526843
4081,2020-09-05T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,54,7,61,646,707,95,8901,1573,11181,134393
4082,2020-09-05T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,245,23,268,7654,7922,388,76708,16877,101507,1044945
4083,2020-09-05T17:00:00,ITA,11,Marche,43.61675973,13.5188753,13,1,14,355,369,32,5986,988,7343,126276
4084,2020-09-05T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,72,75,0,436,23,534,33674
4085,2020-09-05T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,208,218,23,2486,292,2996,75681
4086,2020-09-05T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,6,0,6,270,276,53,4618,405,5299,85463
4087,2020-09-05T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,106,7,113,1572,1685,54,27365,4150,33200,374263
4088,2020-09-05T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,148,7,155,967,1122,55,4112,562,5796,230046
4089,2020-09-05T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,44,8,52,1018,1070,65,1280,136,2486,123894
4090,2020-09-05T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,88,12,100,1243,1343,114,3047,289,4679,281041
4091,2020-09-05T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,69,8,77,1812,1889,113,9260,1143,12292,383856
4092,2020-09-05T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,13,2,15,322,337,16,1472,81,1890,100626
4093,2020-09-05T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,1,0,1,33,34,0,1069,146,1249,17954
4094,2020-09-05T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,79,9,88,2789,2877,188,18758,2130,23765,639941
4095,2020-09-06T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,32,2,34,475,509,26,2910,472,3891,107501
4096,2020-09-06T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,4,1,5,118,123,9,413,28,564,58988
4097,2020-09-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,25,0,25,324,349,27,1176,98,1623,163844
4098,2020-09-06T17:00:00,ITA,15,Campania,40.83956555,14.25084984,221,7,228,2714,2942,100,4478,448,7868,268075
4099,2020-09-06T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,124,14,138,3232,3370,124,24794,4464,32628,563905
4100,2020-09-06T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,15,4,19,440,459,20,3115,349,3923,158395
4101,2020-09-06T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,355,10,365,3548,3913,122,7257,881,12051,536609
4102,2020-09-06T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,62,9,71,697,768,111,8949,1575,11292,135222
4103,2020-09-06T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,248,25,273,7758,8031,198,76794,16880,101705,1053199
4104,2020-09-06T17:00:00,ITA,11,Marche,43.61675973,13.5188753,14,1,15,370,385,20,5990,988,7363,127083
4105,2020-09-06T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,74,77,2,436,23,536,33934
4106,2020-09-06T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,208,218,7,2493,292,3003,75898
4107,2020-09-06T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,5,0,5,293,298,33,4629,405,5332,86002
4108,2020-09-06T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,111,8,119,1608,1727,56,27379,4150,33256,376721
4109,2020-09-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,155,7,162,1005,1167,60,4126,563,5856,231577
4110,2020-09-06T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,45,8,53,1032,1085,19,1284,136,2505,124985
4111,2020-09-06T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,86,13,99,1235,1334,37,3093,289,4716,282977
